from,subject,date
"""Samsung"" <no-reply@m21.email.samsung.com>",Estrena lo nuevo de Bespoke AI ✨,2025-05-23 21:47:27+00:00
"""SHEIN"" <shein@edm.mx.shein.com>",Modo vacaciones: ,2025-05-23 21:39:58+00:00
LinkedIn <messages-noreply@linkedin.com>,¡La primera entrega de tus datos de LinkedIn está lista!,
DICK'S | Memorial Day Deals  <DSG@e.dcsg.com>, Up to 50% off deals for your summer ☀️ Memorial Day savings continue!,2025-05-23 20:23:08+00:00
Monster Hunter Now <monsterhunternow@email.nianticlabs.com>,Upcoming roadmap updates! ,
ITJ Talent <talent@itj.com>,📢#BootCampOut📢 Workshop with AI: Hugging Face + LangChain,2025-05-23 18:19:00+00:00
"""TELMEX"" <informacion@aviso.telmex.com>",¿Se te olvidó pagar algo y no recuerdas qué?,2025-05-23 18:03:35+00:00
"""adidas"" <adidas@mx-news.adidas.com>",** Tu email de adidas ** Que no se te olvide hasta 40% OFF.,2025-05-23 17:41:54+00:00
"""Coursera"" <Coursera@m.learn.coursera.org>",Still interested in the MLDS?,2025-05-23 16:30:01+00:00
"""Tokio School"" <enquepuedoayudarte@email.tokioschool.com>",[AYUDA AL ESTUDIO] disponible para %=v(@product_name)=%%,2025-05-23 15:00:24+00:00
"""Hey Banco"" <noreply@hola.hey.inc>",🤑 ¡Hey Days ya llegó! Activa tus promos aquí,2025-05-23 14:36:16+00:00
"""SHEIN"" <shein@email.shein.com>",Nuevos estilos ,2025-05-23 14:32:43+00:00
ATTITUDE <info@attitudeliving.com>,Save Up to 25% ,
"""Under Armour"" <underarmour@emails.underarmour.com>",Chill in cool Summer picks,2025-05-23 13:20:53+00:00
LinkedIn <jobs-noreply@linkedin.com>,"Josue Alfredo, se ha enviado tu solicitud a INDI Staffing Services",
Google <no-reply@accounts.google.com>,Alerta de seguridad,
Google <no-reply@accounts.google.com>,Alerta de seguridad,
noreply.kaspersky-latam@nexway.com,No se renovó tu suscripción,2025-05-23 01:30:24+00:00
"""SHEIN"" <shein@news.shein.com>",¡No dejes que se queden en tu carrito! Es hora de llevarlos a casa.,2025-05-22 23:52:58+00:00
LeetCode <no-reply@leetcode.com>,LeetCode Weekly Digest,2025-05-22 21:46:18+00:00
"""SHEIN"" <shein@email.shein.com>",Tus necesidades diarias en ,2025-05-22 21:31:14+00:00
Monster Hunter Now <monsterhunternow@email.nianticlabs.com>,It's a Driftsmelting Bonanza!,
"""Coursera"" <Coursera@m.learn.coursera.org>",Learn the essentials of systems analytics with IBM,2025-05-22 20:42:22+00:00
Google Flights <noreply-travel@google.com>,Ruta que sigues: vuelos de Chihuahua a Tijuana desde 2.449 MXN,2025-05-22 20:09:32+00:00
Hyperskill Crew <crew@hyperskill.org>,🌿 May,
"""Coursera"" <Coursera@m.learn.coursera.org>",Learn the essentials of systems analytics with IBM,2025-05-22 18:49:14+00:00
Temu <orders@order.temu.com>,"Josue Escobar, did you recently sign into Temu?",
=?UTF-8?Q?El=C3=ADas_Guti=C3=A9rrez?= <elias_gutierrez@epam.com>,Join our Java Specialization program ,2025-05-22 15:15:13+00:00
"""SHEIN"" <shein@email.shein.com>",Ofertón de moda🎁,2025-05-22 15:11:15+00:00
Oracle Talent Acquisition <ota@career.oracle.com>,See what makes us a LinkedIn Top Employer,2025-05-22 14:02:15+00:00
"=?UTF-8?Q?The_Pok=C3=A9mon_Company_International?=
 <pokemon@email.pokemon.com>",¡Incursión de Ultraentes en JCC Pokémon Pocket!,2025-05-22 13:27:45+00:00
"""adidas"" <adidas@mx-news.adidas.com>",¡Bienvenido a Miami!🌴 🏁,2025-05-22 13:28:39+00:00
"""Under Armour"" <underarmour@emails.underarmour.com>",31% off UA Outlet is officially on!,2025-05-22 13:23:37+00:00
"""SHEIN"" <shein@email.shein.com>",Checa los ,2025-05-22 13:17:42+00:00
Ford Careers <RecruitingNoReply@ford.com>,New job opportunities at Ford Global Career Site,
Danaher HR <danaher@myworkday.com>,Application Status Update,
Terrascope <no-reply@hire.lever.co>,"Thanks for your interest in Terrascope, Josue",2025-05-22 03:04:56+00:00
"""Indeed"" <alert@indeed.com>","1 nueva vacante de biomedica en Chihuahua, Chih.",2025-05-22 01:27:17+00:00
"""SHEIN"" <shein@news.shein.com>",¡No dejes que se queden en tu carrito! Es hora de llevarlos a casa.,2025-05-22 00:58:54+00:00
NielsenIQ Hiring Team <notifications@smartrecruiters.com>,Thanks for applying at NielsenIQ to ​Jr. Data Scientist (Hybrid)​,2025-05-21 22:33:09+00:00
Kaggle <no-reply@kaggle.com>,[Model Launch] Devstral Is Now on Kaggle!,2025-05-21 19:52:01+00:00
"""Under Armour"" <underarmour@emails.underarmour.com>","Stay cool, go hard",2025-05-21 19:33:08+00:00
"""SHEIN"" <shein@edm.mx.shein.com>",Atrévete con el Estilo de nuestras embajadoras SHEIN ✨💖,2025-05-21 18:33:28+00:00
NielsenIQ Hiring Team <notifications@smartrecruiters.com>,Thanks for applying at NielsenIQ to ​Junior Data Scientist (Hybrid)​,2025-05-21 18:28:07+00:00
"""SHEIN"" <shein@edm.mx.shein.com>",¿No encuentras nada que te guste?,2025-05-21 18:25:50+00:00
"""SHEIN"" <shein@news.shein.com>",💖 ¡Blusa elegante de unicolor con.... se está agotando rápido!,2025-05-21 17:25:04+00:00
=?UTF-8?B?TGlua2VkSW4=?= <linkedin@e.linkedin.com>,"Josue Alfredo, gracias por ser miembro de LinkedIn",2025-05-21 15:17:49+00:00
PriceTravel <emarketing@em.pricetravel.com>,💥 ¡NUEVO! 💥,
"""adidas"" <adidas@mx-news.adidas.com>",Tienes acceso anticipado a las ofertas: hasta 40% OFF,2025-05-21 15:03:14+00:00
HackerRank Team <no-reply@hackerrankmail.com>,Can You Solve Binary Tree Nodes?,2025-05-21 14:50:55+00:00
Perry Ellis <perryellis@email.perryellis.com>,🎆,
"""Under Armour"" <underarmour@emails.underarmour.com>",Style. Comfort. Everything in one. 👟,2025-05-21 12:38:24+00:00
DICK'S Sporting Goods  <DSG@e.dcsg.com>,Memorial Day must-haves you'll want to see — shop right now for up to 50% off deals,2025-05-21 10:36:30+00:00
"""Coursera"" <Coursera@m.learn.coursera.org>","Unlock new career paths, no traditional background required",2025-05-21 08:26:42+00:00
Workable <noreply@candidates.workablemail.com>,Thanks for applying to icorp,2025-05-21 02:37:38+00:00
"""Cultural Care Au Pair"" <aupair.mx@culturalcare.com>",Síguenos en TikTok @culturalcareenespanol,2025-05-21 01:00:59+00:00
"""SHEIN"" <shein@news.shein.com>",¡No dejes que se queden en tu carrito! Es hora de llevarlos a casa.,2025-05-20 23:58:39+00:00
noreply@clevry.com,You have succesfully completed the assessment test ,
"""SHEIN"" <shein@email.shein.com>",HOT MAYO Hombre hasta -85% ,2025-05-20 20:34:22+00:00
Glassdoor Community <noreply@glassdoor.com>,Just got in trouble AT A JOB INTERVIEW? ,
Chrono24 <newsletter@chrono24.com>,Estas marcas de relojes tienen motivos de celebración en 2025,2025-05-20 19:03:41+00:00
Fitbit <noreply@fitbit.com>,Tu informe de progreso semanal de Fitbit,2025-05-20 18:29:31+00:00
didi <didi@mx.didiglobal.com>,En DiDi tú decides cuánto pagar 🤑,2025-05-20 17:35:03+00:00
"""SHEIN"" <shein@edm.mx.shein.com>",Vibras de Vacaciones HOT MAYO ,2025-05-20 17:30:12+00:00
"""Hey Banco"" <noreply@hola.hey.inc>",🚨¡Cuidado! Protege tu tarjeta del Skimming 💳,2025-05-20 17:02:39+00:00
no-reply@us.greenhouse-mail.io,Thank you for applying to Trackonomy,2025-05-20 15:59:15+00:00
ATTITUDE <info@attitudeliving.com>,Citrus is in the Air ,
Knowely <mailer@knowely.com>,👻 Don’t fear AI — make it work for you,2025-05-20 15:00:20+00:00
=?UTF-8?Q?El=C3=ADas_Guti=C3=A9rrez?= <elias_gutierrez@epam.com>,"Josue Alfredo, improve your Java skills",2025-05-20 15:01:31+00:00
"""Samsung"" <no-reply@m21.email.samsung.com>",Hasta 57%🏷️ de descuento para que estrenes sin culpa 😍,2025-05-20 14:54:13+00:00
"""SHEIN"" <shein@email.shein.com>",¡Mejora tu rutina con estas selecciones de belleza!,2025-05-20 13:42:34+00:00
SodaPDF <info@enews.sodapdf.com>,[Last Chance] - your subscription renewal is pending,2025-05-20 12:31:15+00:00
