from,subject,date,snippet,estado,relevante
applications@bairesdev.com,"BairesDev | Josue, activa tu ",2025-05-24 20:30:45+00:00,"<P>Hola Josue,</P> <P>Gracias por tu inter&eacute;s en unirte a BairesDev!</P> <P>Recibimos tu aplicaci&oacute;n a trav&eacute;s de LinkedIn y queremos invitarte a activar tu perfil de una manera s&uacute;per r&aacute;pida y f&aacute;cil.</P> <P>En solo 5 minutos podr&aacute;s completar este paso y no solo te consideraremos para la(s) vacante(s) a las que aplicaste, sino que tambi&eacute;n ampliaremos tu aplicacion a TODAS nuestras m&aacute;s de 400 oportunidades que coincidan con tus habilidade",Otro,True
LinkedIn <jobs-noreply@linkedin.com>,Tu solicitud para el puesto de Data Analyst en HCLTech,2025-05-25 17:13:41+00:00,Tu actualización de HCLTech ---------------------------------------- Este email está dirigido a Josue Alfredo Escobar Polanco (Estudiante en Universidad Autónoma de Chihuahua) Averigua por qué incluimos esto: https://www.linkedin.com/help/linkedin/answer/4788?lang=es&lipi=urn%3Ali%3Apage%3Aemail_email_jobs_application_rejected_01%3B%2BC%2BISHIWQsm%2Bv%2BZLzXg0DQ%3D%3D&midToken=AQGiii_rdc7Yxw&midSig=0CuCTE9XyFBHM1&trk=eml-email_jobs_application_rejected_01-SecurityHelp-0-textfooterglimmer&trkEmai,Rechazo,True
"""Hey Banco"" <noreply@hola.hey.inc>","Josue, sobrevive al mundo post Universidad 🎓",2025-05-24 19:19:36+00:00,"Lo Último en Hey 24 de Mayo https://click.hola.hey.inc/?qs=11c6cde0c69d8029bc77bcc90f164ecf159884fb1852344cd3374231365e91e7a7db1dc870e67da7818450efed6cda886ebf522b77eab3d421aef8db965c8468 🎓➡️🏢 El salto de la universidad al mundo profesional marca el inicio de una nueva etapa llena de oportunidades. Con los hábitos financieros correctos, 📈💡 estrategias de inversión inteligentes y 🏠💻 aprovechando las tendencias del trabajo remoto, puedes construir un futuro próspero desde el primer día. 👉 Síguenos",Otro,True
LinkedIn <jobs-noreply@linkedin.com>,"Josue Alfredo, se ha enviado tu solicitud a MindSource",2025-05-24 02:14:13+00:00,Se ha enviado tu solicitud a MindSource. Data Specialist MindSource México Ver anuncio de empleo: https://www.linkedin.com/comm/jobs/view/4229248433/?trackingId=XrbC3rizTuWHdGKd%2BDVmqw%3D%3D&refId=sfbUOgkpSlS%2Fr%2FwrQo3ZsQ%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_application_confirmation_with_nba_01%3BGhQRJbJoRtCmBXOU9aH%2BSg%3D%3D&midToken=AQGiii_rdc7Yxw&midSig=2eplHeALG6zrM1&trk=eml-email_application_confirmation_with_nba_01-job_card-0-view_job&trkEmail=eml-email_application_confirmation_wit,Otro,True
margareth.almeida@indistaffingservices.com,Solicitud de trabajo recibida,2025-05-24 01:35:02+00:00,"<P>Hola Josue,</P> <P>Gracias por postularte a trav&eacute;s de LinkedIn. Les hemos enviado tu informaci&oacute;n a nuestros clientes para que se pongan en contacto contigo y puedan guiarte hacia los pr&oacute;ximos pasos de su proceso de selecci&oacute;n.</P> <P>Te deseamos todo lo mejor en tu b&uacute;squeda de empleo.</P> <P>Saludos cordiales,</P> <P>INDI Staffing Services Talent Team</P> <P>Esta respuesta se gener&oacute; de manera autom&aacute;tica. Por favor, no respondas a este correo.<BR",Otro,True
LinkedIn <jobs-noreply@linkedin.com>,"Josue Alfredo, se ha enviado tu solicitud a INDI Staffing Services",2025-05-23 03:37:32+00:00,Se ha enviado tu solicitud a INDI Staffing Services. Junior Python Developer - Remote INDI Staffing Services Área metropolitana de Querétaro Ver anuncio de empleo: https://www.linkedin.com/comm/jobs/view/4234499227/?trackingId=HMnK2XdhT%2BmzZjRnwAksig%3D%3D&refId=Q7485%2FowRruJr1CVraKPig%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_application_confirmation_with_nba_01%3BzoLQVl0YRweLoNJrAeOKZw%3D%3D&midToken=AQGiii_rdc7Yxw&midSig=214LbKBbYVybM1&trk=eml-email_application_confirmation_with_nba_01-job_c,Otro,True
Danaher HR <danaher@myworkday.com>,Application Status Update,2025-05-22 07:53:09+00:00,"Hi Josue Alfredo ,We appreciate your interest in Beckman Coulter Life Sciences and the time you've invested in applying for the Junior Data Analyst - Remote position.We have cancelled the position, but we thank you for giving us the opportunity to learn about your skills and accomplishments.We will be advertising more positions in the coming months. We hope you’ll keep us in mind and we encourage you to apply again. We wish you good luck with your job search and future professional endeavors.Bes",Otro,True
Terrascope <no-reply@hire.lever.co>,"Thanks for your interest in Terrascope, Josue",2025-05-22 03:04:56+00:00,"Hi Josue, Thank you for your application to Terrascope. After reviewing your work and experience, we've made the decision to not move forward at this time. I hope you don't mind if we reach out to you in the future when a position opens up that may be a good fit. We appreciate your interest in Terrascope and wish you success in your job search. Regards, Terrascope Recruiting Team",Otro,True
NielsenIQ Hiring Team <notifications@smartrecruiters.com>,Thanks for applying at NielsenIQ to ​Jr. Data Scientist (Hybrid)​,2025-05-21 22:33:09+00:00,"Dear Josue, I trust this message finds you well. I want to express our sincere gratitude for your application for the&nbsp;Jr. Data Scientist (Hybrid)&nbsp;position at NIQ. Your interest in joining our company has not gone unnoticed, and we appreciate the time and effort you dedicated to your application. After careful consideration, we have chosen to move forward with other candidates who possess more aligned work experience and skills for this particular position. We sincerely appreciate your ",Otro,True
NielsenIQ Hiring Team <notifications@smartrecruiters.com>,Thanks for applying at NielsenIQ to ​Junior Data Scientist (Hybrid)​,2025-05-21 18:28:07+00:00,"Dear Josue, I trust this message finds you well. I want to express our sincere gratitude for your application for the&nbsp;Junior Data Scientist (Hybrid)&nbsp;position at NIQ. Your interest in joining our company has not gone unnoticed, and we appreciate the time and effort you dedicated to your application. After careful consideration, we have chosen to move forward with other candidates who possess more aligned work experience and skills for this particular position. We sincerely appreciate yo",Otro,True
